dataset_drug_id,dataset_drug_name,ctd_chemical_id,ctd_chemical_name,matched_alias
DB00313,Valproic acid,MESH:D014635,Valproic Acid,Valproic acid
DB00315,Zolmitriptan,MESH:C089750,zolmitriptan,Zolmitriptan
DB00316,Acetaminophen,MESH:D000082,Acetaminophen,Acetaminophen
DB00318,Codeine,MESH:D003061,Codeine,Codeine
DB00320,Dihydroergotamine,MESH:D004087,Dihydroergotamine,Dihydroergotamine
DB00321,Amitriptyline,MESH:D000639,Amitriptyline,Amitriptyline
DB00323,Tolcapone,MESH:D000077867,Tolcapone,Tolcapone
DB00324,Fluorometholone,MESH:D005469,Fluorometholone,Fluorometholone
DB00325,Nitroprusside,MESH:D009599,Nitroprusside,Nitroprusside
DB00327,Hydromorphone,MESH:D004091,Hydromorphone,Hydromorphone
DB00328,Indomethacin,MESH:D007213,Indomethacin,Indomethacin
DB00331,Metformin,MESH:D008687,Metformin,Metformin
DB00332,Ipratropium,MESH:D009241,Ipratropium,Ipratropium
DB00333,Methadone,MESH:D008691,Methadone,Methadone
DB00334,Olanzapine,MESH:D000077152,Olanzapine,Olanzapine
DB00335,Atenolol,MESH:D001262,Atenolol,Atenolol
DB00337,Pimecrolimus,MESH:C117268,pimecrolimus,Pimecrolimus
DB00338,Omeprazole,MESH:D009853,Omeprazole,Omeprazole
DB00341,Cetirizine,MESH:D017332,Cetirizine,Cetirizine
DB00342,Terfenadine,MESH:D016593,Terfenadine,Terfenadine
DB00343,Diltiazem,MESH:D004110,Diltiazem,Diltiazem
DB00346,Alfuzosin,MESH:C047638,alfuzosin,Alfuzosin
DB00349,Clobazam,MESH:D000078306,Clobazam,Clobazam
DB00350,Minoxidil,MESH:D008914,Minoxidil,Minoxidil
DB00351,Megestrol acetate,MESH:D019290,Megestrol Acetate,Megestrol acetate
DB00352,Tioguanine,MESH:D013866,Thioguanine,Tioguanine
DB00353,Methylergometrine,MESH:D008755,Methylergonovine,Methylergometrine
DB00354,Buclizine,MESH:C046894,buclizine,Buclizine
DB00356,Chlorzoxazone,MESH:D002753,Chlorzoxazone,Chlorzoxazone
DB00357,Aminoglutethimide,MESH:D000616,Aminoglutethimide,Aminoglutethimide
DB00361,Vinorelbine,MESH:D000077235,Vinorelbine,Vinorelbine
DB00363,Clozapine,MESH:D003024,Clozapine,Clozapine
DB00364,Sucralfate,MESH:D013392,Sucralfate,Sucralfate
DB00366,Doxylamine,MESH:D004319,Doxylamine,Doxylamine
DB00367,Levonorgestrel,MESH:D016912,Levonorgestrel,Levonorgestrel
DB00368,Norepinephrine,MESH:D009638,Norepinephrine,Norepinephrine
DB00371,Meprobamate,MESH:D008620,Meprobamate,Meprobamate
DB00373,Timolol,MESH:D013999,Timolol,Timolol
DB00374,Treprostinil,MESH:C427248,treprostinil,Treprostinil
DB00376,Trihexyphenidyl,MESH:D014282,Trihexyphenidyl,Trihexyphenidyl
DB00379,Mexiletine,MESH:D008801,Mexiletine,Mexiletine
DB00380,Dexrazoxane,MESH:D064730,Dexrazoxane,Dexrazoxane
DB00381,Amlodipine,MESH:D017311,Amlodipine,Amlodipine
DB00382,Tacrine,MESH:D013619,Tacrine,Tacrine
DB00384,Triamterene,MESH:D014223,Triamterene,Triamterene
DB00385,Valrubicin,MESH:C016163,valrubicin,Valrubicin
DB00387,Procyclidine,MESH:D011352,Procyclidine,Procyclidine
DB00388,Phenylephrine,MESH:D010656,Phenylephrine,Phenylephrine
DB00390,Digoxin,MESH:D004077,Digoxin,Digoxin
DB00392,Profenamine,MESH:C084820,profenamine,Profenamine
DB00393,Nimodipine,MESH:D009553,Nimodipine,Nimodipine
DB00394,Beclomethasone dipropionate,MESH:D001507,Beclomethasone,Beclomethasone dipropionate
DB00396,Progesterone,MESH:D011374,Progesterone,Progesterone
DB00397,Phenylpropanolamine,MESH:D010665,Phenylpropanolamine,Phenylpropanolamine
DB00398,Sorafenib,MESH:D000077157,Sorafenib,Sorafenib
DB00399,Zoledronic acid,MESH:D000077211,Zoledronic Acid,Zoledronic acid
DB00401,Nisoldipine,MESH:D015737,Nisoldipine,Nisoldipine
DB00404,Alprazolam,MESH:D000525,Alprazolam,Alprazolam
DB00405,Dexbrompheniramine,MESH:C015121,dexbrompheniramine,Dexbrompheniramine
DB00407,Ardeparin,MESH:C093450,ardeparin,Ardeparin
DB00408,Loxapine,MESH:D008152,Loxapine,Loxapine
DB00412,Rosiglitazone,MESH:D000077154,Rosiglitazone,Rosiglitazone
DB00413,Pramipexole,MESH:D000077487,Pramipexole,Pramipexole
DB00414,Acetohexamide,MESH:D000092,Acetohexamide,Acetohexamide
DB00419,Miglustat,MESH:C059896,miglustat,Miglustat
DB00421,Spironolactone,MESH:D013148,Spironolactone,Spironolactone
DB00422,Methylphenidate,MESH:D008774,Methylphenidate,Methylphenidate
DB00424,Hyoscyamine,MESH:D064692,Hyoscyamine,Hyoscyamine
DB00427,Triprolidine,MESH:D014311,Triprolidine,Triprolidine
DB00428,Streptozocin,MESH:D013311,Streptozocin,Streptozocin
DB00433,Prochlorperazine,MESH:D011346,Prochlorperazine,Prochlorperazine
DB00434,Cyproheptadine,MESH:D003533,Cyproheptadine,Cyproheptadine
DB00436,Bendroflumethiazide,MESH:D001539,Bendroflumethiazide,Bendroflumethiazide
DB00437,Allopurinol,MESH:D000493,Allopurinol,Allopurinol
DB00440,Trimethoprim,MESH:D014295,Trimethoprim,Trimethoprim
DB00441,Gemcitabine,MESH:D000093542,Gemcitabine,Gemcitabine
DB00443,Betamethasone,MESH:D001623,Betamethasone,Betamethasone
DB00444,Teniposide,MESH:D013713,Teniposide,Teniposide
DB00445,Epirubicin,MESH:D015251,Epirubicin,Epirubicin
DB00448,Lansoprazole,MESH:D064747,Lansoprazole,Lansoprazole
DB00449,Dipivefrin,MESH:C015173,dipivefrin,Dipivefrin
DB00451,Levothyroxine,MESH:D013974,Thyroxine,Levothyroxine
DB00454,Meperidine,MESH:D008614,Meperidine,Meperidine
DB00455,Loratadine,MESH:D017336,Loratadine,Loratadine
DB00457,Prazosin,MESH:D011224,Prazosin,Prazosin
DB00458,Imipramine,MESH:D007099,Imipramine,Imipramine
DB00460,Verteporfin,MESH:D000077362,Verteporfin,Verteporfin
DB00461,Nabumetone,MESH:D000077430,Nabumetone,Nabumetone
DB00464,Sodium tetradecyl sulfate,MESH:D012981,Sodium Tetradecyl Sulfate,Sodium tetradecyl sulfate
DB00465,Ketorolac,MESH:D020910,Ketorolac,Ketorolac
DB00468,Quinine,MESH:D011803,Quinine,Quinine
DB00469,Tenoxicam,MESH:C032801,tenoxicam,Tenoxicam
DB00470,Dronabinol,MESH:D013759,Dronabinol,Dronabinol
DB00471,Montelukast,MESH:C093875,montelukast,Montelukast
DB00472,Fluoxetine,MESH:D005473,Fluoxetine,Fluoxetine
DB00475,Chlordiazepoxide,MESH:D002707,Chlordiazepoxide,Chlordiazepoxide
DB00476,Duloxetine,MESH:D000068736,Duloxetine Hydrochloride,Duloxetine
DB00477,Chlorpromazine,MESH:D002746,Chlorpromazine,Chlorpromazine
DB00480,Lenalidomide,MESH:D000077269,Lenalidomide,Lenalidomide
DB00481,Raloxifene,MESH:D020849,Raloxifene Hydrochloride,Raloxifene
DB00482,Celecoxib,MESH:D000068579,Celecoxib,Celecoxib
DB00484,Brimonidine,MESH:D000068438,Brimonidine Tartrate,Brimonidine
DB00489,Sotalol,MESH:D013015,Sotalol,Sotalol
DB00490,Buspirone,MESH:D002065,Buspirone,Buspirone
DB00491,Miglitol,MESH:C045621,miglitol,Miglitol
DB00492,Fosinopril,MESH:D017328,Fosinopril,Fosinopril
DB00494,Entacapone,MESH:C071192,entacapone,Entacapone
DB00497,Oxycodone,MESH:D010098,Oxycodone,Oxycodone
DB00499,Flutamide,MESH:D005485,Flutamide,Flutamide
DB00500,Tolmetin,MESH:D014046,Tolmetin,Tolmetin
DB00501,Cimetidine,MESH:D002927,Cimetidine,Cimetidine
DB00502,Haloperidol,MESH:D006220,Haloperidol,Haloperidol
DB00508,Triflupromazine,MESH:D014273,Triflupromazine,Triflupromazine
DB00514,Dextromethorphan,MESH:D003915,Dextromethorphan,Dextromethorphan
DB00515,Cisplatin,MESH:D002945,Cisplatin,Cisplatin
DB00519,Trandolapril,MESH:C052035,trandolapril,Trandolapril
DB00521,Carteolol,MESH:D002354,Carteolol,Carteolol
DB00523,Alitretinoin,MESH:D000077556,Alitretinoin,Alitretinoin
DB00524,Metolazone,MESH:D008788,Metolazone,Metolazone
DB00527,Cinchocaine,MESH:D003992,Dibucaine,Cinchocaine
DB00528,Lercanidipine,MESH:C060343,lercanidipine,Lercanidipine
DB00530,Erlotinib,MESH:D000069347,Erlotinib Hydrochloride,Erlotinib
DB00531,Cyclophosphamide,MESH:D003520,Cyclophosphamide,Cyclophosphamide
DB00532,Mephenytoin,MESH:D008617,Mephenytoin,Mephenytoin
DB00535,Cefdinir,MESH:D000077525,Cefdinir,Cefdinir
DB00536,Guanidine,MESH:D019791,Guanidine,Guanidine
DB00537,Ciprofloxacin,MESH:D002939,Ciprofloxacin,Ciprofloxacin
DB00540,Nortriptyline,MESH:D009661,Nortriptyline,Nortriptyline
DB00541,Vincristine,MESH:D014750,Vincristine,Vincristine
DB00542,Benazepril,MESH:C044946,benazepril,Benazepril
DB00544,Fluorouracil,MESH:D005472,Fluorouracil,Fluorouracil
DB00545,Pyridostigmine,MESH:D011729,Pyridostigmine Bromide,Pyridostigmine
DB00547,Desoximetasone,MESH:D003899,Desoximetasone,Desoximetasone
DB00548,Azelaic acid,MESH:C010038,azelaic acid,Azelaic acid
DB00549,Zafirlukast,MESH:C062735,zafirlukast,Zafirlukast
DB00550,Propylthiouracil,MESH:D011441,Propylthiouracil,Propylthiouracil
DB00552,Pentostatin,MESH:D015649,Pentostatin,Pentostatin
DB00553,Methoxsalen,MESH:D008730,Methoxsalen,Methoxsalen
DB00554,Piroxicam,MESH:D010894,Piroxicam,Piroxicam
DB00555,Lamotrigine,MESH:D000077213,Lamotrigine,Lamotrigine
DB00557,Hydroxyzine,MESH:D006919,Hydroxyzine,Hydroxyzine
DB00559,Bosentan,MESH:D000077300,Bosentan,Bosentan
DB00563,Methotrexate,MESH:D008727,Methotrexate,Methotrexate
DB00564,Carbamazepine,MESH:D002220,Carbamazepine,Carbamazepine
DB00569,Fondaparinux,MESH:D000077425,Fondaparinux,Fondaparinux
DB00570,Vinblastine,MESH:D014747,Vinblastine,Vinblastine
DB00571,Propranolol,MESH:D011433,Propranolol,Propranolol
DB00572,Atropine,MESH:D001285,Atropine,Atropine
DB00573,Fenoprofen,MESH:D005279,Fenoprofen,Fenoprofen
DB00575,Clonidine,MESH:D003000,Clonidine,Clonidine
DB00583,Levocarnitine,MESH:D002331,Carnitine,Levocarnitine
DB00584,Enalapril,MESH:D004656,Enalapril,Enalapril
DB00585,Nizatidine,MESH:D016567,Nizatidine,Nizatidine
DB00586,Diclofenac,MESH:D004008,Diclofenac,Diclofenac
DB00588,Fluticasone propionate,MESH:D000068298,Fluticasone,Fluticasone propionate
DB00589,Lisuride,MESH:D008090,Lisuride,Lisuride
DB00590,Doxazosin,MESH:D017292,Doxazosin,Doxazosin
DB00591,Fluocinolone acetonide,MESH:D005446,Fluocinolone Acetonide,Fluocinolone acetonide
DB00593,Ethosuximide,MESH:D005013,Ethosuximide,Ethosuximide
DB00594,Amiloride,MESH:D000584,Amiloride,Amiloride
DB00596,Ulobetasol,MESH:C064466,halobetasol,Ulobetasol
DB00598,Labetalol,MESH:D007741,Labetalol,Labetalol
DB00603,Medroxyprogesterone acetate,MESH:D017258,Medroxyprogesterone Acetate,Medroxyprogesterone acetate
DB00604,Cisapride,MESH:D020117,Cisapride,Cisapride
DB00605,Sulindac,MESH:D013467,Sulindac,Sulindac
DB00608,Chloroquine,MESH:D002738,Chloroquine,Chloroquine
DB00611,Butorphanol,MESH:D002077,Butorphanol,Butorphanol
DB00612,Bisoprolol,MESH:D017298,Bisoprolol,Bisoprolol
DB00619,Imatinib,MESH:D000068877,Imatinib Mesylate,Imatinib
DB00620,Triamcinolone,MESH:D014221,Triamcinolone,Triamcinolone
DB00622,Nicardipine,MESH:D009529,Nicardipine,Nicardipine
DB00623,Fluphenazine,MESH:D005476,Fluphenazine,Fluphenazine
DB00624,Testosterone,MESH:D013739,Testosterone,Testosterone
DB00627,Niacin,MESH:D009525,Niacin,Niacin
DB00630,Alendronic acid,,,
DB00631,Clofarabine,MESH:D000077866,Clofarabine,Clofarabine
DB00635,Prednisone,MESH:D011241,Prednisone,Prednisone
DB00636,Clofibrate,MESH:D002994,Clofibrate,Clofibrate
DB00637,Astemizole,MESH:D016589,Astemizole,Astemizole
DB00638,Inulin,MESH:D007444,Inulin,Inulin
DB00640,Adenosine,MESH:D000241,Adenosine,Adenosine
DB00641,Simvastatin,MESH:D019821,Simvastatin,Simvastatin
DB00642,Pemetrexed,MESH:D000068437,Pemetrexed,Pemetrexed
DB00644,Gonadorelin,MESH:D007987,Gonadotropin-Releasing Hormone,Gonadorelin
DB00647,Dextropropoxyphene,MESH:D011431,Dextropropoxyphene,Dextropropoxyphene
DB00650,Leucovorin,MESH:D002955,Leucovorin,Leucovorin
DB00651,Dyphylline,MESH:D004400,Dyphylline,Dyphylline
DB00652,Pentazocine,MESH:D010423,Pentazocine,Pentazocine
DB00653,Magnesium sulfate,MESH:D008278,Magnesium Sulfate,Magnesium sulfate
DB00654,Latanoprost,MESH:D000077338,Latanoprost,Latanoprost
DB00655,Estrone,MESH:D004970,Estrone,Estrone
DB00657,Mecamylamine,MESH:D008464,Mecamylamine,Mecamylamine
DB00659,Acamprosate,MESH:D000077443,Acamprosate,Acamprosate
DB00661,Verapamil,MESH:D014700,Verapamil,Verapamil
DB00663,Flumethasone,MESH:D005443,Flumethasone,Flumethasone
DB00668,Epinephrine,MESH:D004837,Epinephrine,Epinephrine
DB00669,Sumatriptan,MESH:D018170,Sumatriptan,Sumatriptan
DB00672,Chlorpropamide,MESH:D002747,Chlorpropamide,Chlorpropamide
DB00674,Galantamine,MESH:D005702,Galantamine,Galantamine
DB00675,Tamoxifen,MESH:D013629,Tamoxifen,Tamoxifen
DB00678,Losartan,MESH:D019808,Losartan,Losartan
DB00679,Thioridazine,MESH:D013881,Thioridazine,Thioridazine
DB00682,Warfarin,MESH:D014859,Warfarin,Warfarin
DB00686,Pentosan polysulfate,MESH:D010426,Pentosan Sulfuric Polyester,Pentosan polysulfate
DB00687,Fludrocortisone,MESH:D005438,Fludrocortisone,Fludrocortisone
DB00691,Moexipril,MESH:C058302,moexipril,Moexipril
DB00692,Phentolamine,MESH:D010646,Phentolamine,Phentolamine
DB00694,Daunorubicin,MESH:D003630,Daunorubicin,Daunorubicin
DB00695,Furosemide,MESH:D005665,Furosemide,Furosemide
DB00696,Ergotamine,MESH:D004878,Ergotamine,Ergotamine
DB00697,Tizanidine,MESH:C023754,tizanidine,Tizanidine
DB00699,Nicergoline,MESH:D009530,Nicergoline,Nicergoline
DB00704,Naltrexone,MESH:D009271,Naltrexone,Naltrexone
DB00706,Tamsulosin,MESH:D000077409,Tamsulosin,Tamsulosin
DB00710,Ibandronate,MESH:D000077557,Ibandronic Acid,Ibandronate
DB00712,Flurbiprofen,MESH:D005480,Flurbiprofen,Flurbiprofen
DB00714,Apomorphine,MESH:D001058,Apomorphine,Apomorphine
DB00715,Paroxetine,MESH:D017374,Paroxetine,Paroxetine
DB00716,Nedocromil,MESH:D017835,Nedocromil,Nedocromil
DB00717,Norethisterone,MESH:D009640,Norethindrone,Norethisterone
DB00719,Azatadine,MESH:C006656,azatadine,Azatadine
DB00721,Procaine,MESH:D011343,Procaine,Procaine
DB00722,Lisinopril,MESH:D017706,Lisinopril,Lisinopril
DB00724,Imiquimod,MESH:D000077271,Imiquimod,Imiquimod
DB00727,Nitroglycerin,MESH:D005996,Nitroglycerin,Nitroglycerin
DB00731,Nateglinide,MESH:D000077715,Nateglinide,Nateglinide
DB00733,Pralidoxime,MESH:C028797,pralidoxime,Pralidoxime
DB00734,Risperidone,MESH:D018967,Risperidone,Risperidone
DB00736,Esomeprazole,MESH:D064098,Esomeprazole,Esomeprazole
DB00741,Hydrocortisone,MESH:D006854,Hydrocortisone,Hydrocortisone
DB00744,Zileuton,MESH:C063449,zileuton,Zileuton
DB00745,Modafinil,MESH:D000077408,Modafinil,Modafinil
DB00747,Scopolamine,MESH:D012601,Scopolamine,Scopolamine
DB00748,Carbinoxamine,MESH:C004649,carbinoxamine,Carbinoxamine
DB00749,Etodolac,MESH:D017308,Etodolac,Etodolac
DB00750,Prilocaine,MESH:D011318,Prilocaine,Prilocaine
DB00751,Epinastine,MESH:C053090,epinastine,Epinastine
DB00754,Ethotoin,MESH:C084606,ethotoin,Ethotoin
DB00755,Tretinoin,MESH:D014212,Tretinoin,Tretinoin
DB00757,Dolasetron,MESH:C060344,dolasetron,Dolasetron
DB00758,Clopidogrel,MESH:D000077144,Clopidogrel,Clopidogrel
DB00759,Tetracycline,MESH:D013752,Tetracycline,Tetracycline
DB00762,Irinotecan,MESH:D000077146,Irinotecan,Irinotecan
DB00763,Methimazole,MESH:D008713,Methimazole,Methimazole
DB00764,Mometasone,MESH:D000068656,Mometasone Furoate,Mometasone
DB00765,Metyrosine,MESH:D019805,alpha-Methyltyrosine,Metyrosine
DB00767,Benzquinamide,MESH:C100234,benzquinamide,Benzquinamide
DB00768,Olopatadine,MESH:D000069605,Olopatadine Hydrochloride,Olopatadine
DB00770,Alprostadil,MESH:D000527,Alprostadil,Alprostadil
DB00771,Clidinium,MESH:C054940,clidinium,Clidinium
DB00773,Etoposide,MESH:D005047,Etoposide,Etoposide
DB00775,Tirofiban,MESH:D000077466,Tirofiban,Tirofiban
DB00776,Oxcarbazepine,MESH:D000078330,Oxcarbazepine,Oxcarbazepine
DB00780,Phenelzine,MESH:D010624,Phenelzine,Phenelzine
DB00783,Estradiol,MESH:D004958,Estradiol,Estradiol
DB00784,Mefenamic acid,MESH:D008528,Mefenamic Acid,Mefenamic acid
DB00787,Acyclovir,MESH:D000212,Acyclovir,Acyclovir
DB00788,Naproxen,MESH:D009288,Naproxen,Naproxen
DB00790,Perindopril,MESH:D020913,Perindopril,Perindopril
DB00794,Primidone,MESH:D011324,Primidone,Primidone
DB00795,Sulfasalazine,MESH:D012460,Sulfasalazine,Sulfasalazine
DB00796,Candesartan cilexetil,MESH:C077793,candesartan cilexetil,Candesartan cilexetil
DB00800,Fenoldopam,MESH:D018818,Fenoldopam,Fenoldopam
DB00804,Dicyclomine,MESH:D004025,Dicyclomine,Dicyclomine
DB00806,Pentoxifylline,MESH:D010431,Pentoxifylline,Pentoxifylline
DB00808,Indapamide,MESH:D007190,Indapamide,Indapamide
DB00810,Biperiden,MESH:D001712,Biperiden,Biperiden
DB00813,Fentanyl,MESH:D005283,Fentanyl,Fentanyl
DB00814,Meloxicam,MESH:D000077239,Meloxicam,Meloxicam
DB00816,Orciprenaline,MESH:D009921,Metaproterenol,Orciprenaline
DB00819,Acetazolamide,MESH:D000086,Acetazolamide,Acetazolamide
DB00820,Tadalafil,MESH:D000068581,Tadalafil,Tadalafil
DB00822,Disulfiram,MESH:D004221,Disulfiram,Disulfiram
DB00829,Diazepam,MESH:D003975,Diazepam,Diazepam
DB00831,Trifluoperazine,MESH:D014268,Trifluoperazine,Trifluoperazine
DB00834,Mifepristone,MESH:D015735,Mifepristone,Mifepristone
DB00835,Brompheniramine,MESH:D001977,Brompheniramine,Brompheniramine
DB00839,Tolazamide,MESH:D014042,Tolazamide,Tolazamide
DB00843,Donepezil,MESH:D000077265,Donepezil,Donepezil
DB00844,Nalbuphine,MESH:D009266,Nalbuphine,Nalbuphine
DB00846,Flurandrenolide,MESH:D005478,Flurandrenolone,Flurandrenolide
DB00847,Cysteamine,MESH:D003543,Cysteamine,Cysteamine
DB00848,Levamisole,MESH:D007978,Levamisole,Levamisole
DB00851,Dacarbazine,MESH:D003606,Dacarbazine,Dacarbazine
DB00852,Pseudoephedrine,MESH:D054199,Pseudoephedrine,Pseudoephedrine
DB00853,Temozolomide,MESH:D000077204,Temozolomide,Temozolomide
DB00856,Chlorphenesin,MESH:D002743,Chlorphenesin,Chlorphenesin
DB00859,Penicillamine,MESH:D010396,Penicillamine,Penicillamine
DB00860,Prednisolone,MESH:D011239,Prednisolone,Prednisolone
DB00861,Diflunisal,MESH:D004061,Diflunisal,Diflunisal
DB00863,Ranitidine,MESH:D011899,Ranitidine,Ranitidine
DB00864,Tacrolimus,MESH:D016559,Tacrolimus,Tacrolimus
DB00865,Benzphetamine,MESH:D001589,Benzphetamine,Benzphetamine
DB00868,Benzonatate,MESH:C029755,benzonatate,Benzonatate
DB00869,Dorzolamide,MESH:C062765,dorzolamide,Dorzolamide
DB00871,Terbutaline,MESH:D013726,Terbutaline,Terbutaline
