Protein1,Protein2,Combined Score
806,4206,873
806,761,804
806,1474,438
806,1140,756
806,654,320
806,2469,190
806,2275,205
806,3175,170
806,1494,289
806,5453,241
806,1978,249
806,2727,150
806,2162,359
806,2929,252
806,5910,515
806,4834,307
806,1468,326
806,5082,229
806,4418,903
806,3712,189
806,2203,818
806,5176,466
806,2747,819
806,5825,169
806,1624,322
806,2829,762
806,5379,323
806,4894,321
806,2845,305
806,383,168
806,2694,343
806,947,235
806,643,286
806,2768,164
806,4435,178
806,4041,388
806,1005,334
806,681,819
806,2686,309
806,3490,150
806,2512,157
806,4859,395
806,4654,640
806,5192,150
806,3922,205
806,2801,902
806,4571,326
806,5206,165
806,3847,205
806,2025,208
806,4687,998
806,1481,269
806,247,207
806,5413,540
806,899,285
806,803,197
806,1454,243
806,532,248
806,1075,285
806,5135,325
806,124,838
806,1237,167
806,4637,755
806,24,911
806,3538,367
806,5344,184
806,616,296
806,2102,430
806,5274,208
806,2901,838
806,3573,213
806,3704,168
806,3230,493
806,2538,241
806,5828,400
806,1276,642
806,1693,465
806,2012,329
806,4936,255
806,736,256
806,5172,289
806,2960,319
806,3445,218
806,461,209
806,3318,248
806,924,187
806,6013,237
806,2046,271
806,4540,158
806,3016,511
806,5348,260
806,1646,240
806,5474,529
806,2221,167
806,2146,431
806,217,264
806,956,302
806,3331,194
806,1769,531
806,5638,786
806,4551,217
806,1973,173
806,3729,354
806,5394,160
806,1729,150
806,4693,236
806,2339,871
806,592,165
806,5518,591
806,4439,156
806,5729,164
806,3606,494
806,3229,308
806,4094,178
806,2729,197
806,2312,150
806,5364,289
806,1460,734
806,4181,311
806,1382,228
806,5391,351
806,3723,283
806,4318,540
806,5463,540
806,2461,193
806,2415,167
806,2483,171
806,4483,211
806,4731,273
806,1097,656
806,1536,166
806,3051,259
806,3673,193
806,3220,175
806,4044,165
806,2395,231
806,944,158
806,4286,169
806,696,253
806,2532,550
806,3305,878
806,2813,258
806,754,261
806,4820,175
806,4942,314
806,1225,905
806,3917,222
806,2245,199
806,4737,453
806,1931,544
806,4195,171
806,4983,806
806,2182,245
806,2610,327
806,3323,997
806,3060,546
806,5432,179
806,5634,524
806,3359,504
806,2735,171
806,5062,152
806,5295,262
806,4377,811
806,176,175
806,4889,383
806,3934,164
806,2543,212
806,5629,159
806,3090,463
806,4826,289
806,3893,157
806,4870,216
806,405,161
806,2498,325
806,224,338
806,5197,217
806,5713,224
806,2590,177
806,1777,301
806,2237,273
806,265,183
806,1451,181
806,2211,215
806,1513,233
806,734,199
806,2185,165
806,5693,960
806,851,245
806,1974,203
806,4985,179
806,371,214
806,177,161
806,3813,323
806,2515,177
806,2302,177
806,5202,218
806,1493,162
806,4126,206
806,102,811
806,2802,307
806,5292,693
806,2073,160
806,5928,673
806,5360,418
806,5889,152
806,5169,394
806,4734,260
806,5906,542
806,2353,210
806,1455,156
806,3912,169
806,5457,274
806,2875,175
806,5333,203
806,2178,281
806,3339,205
806,3928,189
806,4324,181
806,702,913
806,3668,150
806,4639,181
806,5931,397
806,900,197
806,5941,195
806,866,183
806,705,193
806,1477,165
806,5028,215
806,5986,309
806,6023,292
806,6035,618
806,710,489
806,3203,368
806,631,356
806,3869,240
806,2665,306
806,4259,205
806,4217,231
806,3676,151
806,795,195
806,2823,442
806,4113,161
806,2183,506
806,5741,286
806,4745,170
806,2044,163
806,1656,271
806,903,319
806,5354,168
806,1805,318
806,2977,230
806,5286,184
806,4169,181
806,3904,305
806,2975,291
806,1362,166
806,2346,257
806,1281,470
806,5648,183
806,3689,286
806,4758,334
806,2728,998
806,1400,501
806,464,200
806,5968,150
806,4254,301
806,5645,228
806,4230,642
806,5086,188
806,1697,314
806,3077,231
806,6006,373
806,5117,540
806,4767,750
806,4774,362
806,1735,822
806,546,568
806,842,189
806,3271,260
806,5312,336
806,4409,540
806,3703,578
806,227,207
806,652,154
806,1552,434
806,1435,250
806,547,540
806,2959,492
806,1352,256
806,3520,177
806,2112,237
806,4973,595
806,5040,275
806,118,267
806,859,231
806,3294,181
806,4999,181
806,4165,250
806,1512,201
806,1061,186
806,3376,795
806,4048,173
806,2293,218
806,4532,836
806,5527,160
806,2690,186
806,2175,381
806,980,172
806,4607,631
806,3461,187
806,4442,283
806,1336,463
806,4509,345
806,5957,178
806,4084,216
806,4584,543
806,4904,156
806,1705,208
806,1303,531
806,411,426
806,4267,182
806,5020,331
806,1742,545
806,1516,220
806,3748,265
806,4501,164
806,647,177
806,836,285
806,4023,194
806,3138,417
806,1748,160
806,3623,803
806,5692,385
806,5124,377
806,3286,346
806,3187,274
806,639,167
806,4618,160
806,3212,152
806,3182,159
806,5888,201
806,4945,233
806,5960,540
806,3521,328
806,5962,203
806,3266,244
806,591,248
806,2666,996
806,2568,192
806,475,170
806,212,689
806,403,261
806,5282,276
806,4309,513
806,4833,150
806,261,435
806,1032,234
806,2820,228
806,5089,414
806,1773,540
806,1026,253
806,1903,287
806,712,540
806,2701,325
806,3355,581
806,4596,629
806,4486,186
806,5911,161
806,3632,474
806,4305,161
806,3646,545
806,7,215
806,3985,543
806,125,241
806,1252,262
806,2092,210
806,4777,168
806,847,248
806,6036,215
806,5349,256
806,4079,161
806,5492,736
806,2944,156
4132,3686,189
4132,735,312
4132,3186,229
4132,2199,255
4132,2817,233
4132,526,619
4132,5295,300
4132,4448,284
4132,2735,153
4132,2631,188
4132,3398,181
4132,83,350
4132,4210,262
4132,1458,302
4132,4301,258
4132,3446,216
4132,2395,238
4132,4897,324
4132,9,248
4132,1242,415
4132,1097,409
4132,2403,252
4132,1043,164
4132,3595,370
4132,21,208
4132,2392,151
4132,3059,337
4132,1382,260
4132,3840,303
4132,2863,161
4132,2312,311
4132,4451,311
4132,1118,182
4132,5518,296
4132,3858,179
4132,4694,198
4132,2076,265
4132,4965,197
4132,2594,931
4132,5871,150
4132,4512,192
4132,1179,617
4132,697,216
4132,618,238
4132,875,151
4132,93,180
4132,5858,231
4132,3577,180
4132,5153,213
4132,2405,177
4132,4180,173
4132,2450,200
4132,4037,240
4132,5884,205
4132,2903,358
4132,5817,246
4132,747,171
4132,477,434
4132,841,321
4132,3263,192
4132,6038,198
4132,5529,188
4132,4022,167
4132,5028,156
4132,1477,231
4132,1378,359
4132,4970,191
4132,5353,221
4132,705,176
4132,3769,346
4132,4989,186
4132,4738,628
4132,900,183
4132,2576,261
4132,5499,297
4132,830,656
4132,287,321
4132,649,232
4132,1085,285
4132,75,175
4132,2141,194
4132,1989,302
4132,5673,233
4132,2467,189
4132,3584,537
4132,927,981
4132,4892,206
4132,1117,171
4132,2714,188
4132,3629,282
4132,5737,631
4132,2802,452
4132,2073,156
4132,2697,468
4132,5748,166
4132,628,207
4132,2186,153
4132,1284,152
4132,2763,227
4132,4985,978
4132,4387,286
4132,1349,902
4132,2130,672
4132,851,209
4132,3863,734
4132,2957,225
4132,4122,334
4132,3510,168
4132,5063,153
4132,1985,282
4132,5747,253
4132,265,242
4132,2197,311
4132,1018,216
4132,1854,176
4132,2531,181
4132,3535,189
4132,5002,150
4132,3947,446
4132,980,369
4132,1728,169
4132,1760,181
4132,2293,333
4132,3905,311
4132,4898,956
4132,1972,293
4132,4260,321
4132,3949,310
4132,2845,183
4132,2795,355
4132,4378,171
4132,4002,169
4132,3616,180
4132,2203,206
4132,1468,413
4132,3424,465
4132,3703,219
4132,5589,277
4132,5954,156
4132,1697,231
4132,6006,382
4132,1140,287
4132,1811,202
4132,2728,601
4132,1630,154
4132,4004,150
4132,2508,336
4132,1322,201
4132,1873,622
4132,721,368
4132,94,299
4132,2843,221
4132,3816,464
4132,5859,321
4132,1017,150
4132,5134,426
4132,3085,397
4132,1218,152
4132,1174,457
4132,795,165
4132,4259,188
4132,4217,315
4132,2606,156
4132,1526,169
4132,3892,237
4132,956,198
4132,3023,309
4132,1603,227
4132,7,152
4132,4335,386
4132,5348,157
4132,5066,173
4132,3355,168
4132,921,202
4132,2554,206
4132,2716,233
4132,5172,294
4132,4589,406
4132,3704,901
4132,2718,361
4132,4993,326
4132,2232,236
4132,2901,151
4132,3521,436
4132,338,183
4132,530,195
4132,4455,175
4132,639,193
4132,4581,232
4132,1706,465
4132,2335,958
4132,1335,169
4132,3515,154
4132,3211,485
4132,1359,216
4132,5536,207
4132,4084,164
4132,5957,215
4132,4063,315
4132,1570,157
4132,2030,256
4132,4859,164
1190,3708,197
1190,75,339
1190,2138,187
1190,5931,695
1190,1555,350
1190,900,197
1190,774,152
1190,5028,399
1190,333,150
1190,3593,167
1190,4163,222
1190,3263,465
1190,2450,710
1190,4817,152
1190,4125,329
1190,5884,219
1190,4136,212
1190,1363,166
1190,5197,273
1190,844,197
1190,4504,215
1190,265,203
1190,768,197
1190,734,166
1190,340,152
1190,4395,196
1190,1513,153
1190,1974,183
1190,4848,161
1190,5693,217
1190,851,249
1190,1493,166
1190,4387,157
1190,4985,270
1190,2073,262
1190,2802,226
1190,3017,239
1190,696,183
1190,5517,296
1190,2395,211
1190,754,226
1190,3446,174
1190,3305,216
1190,446,321
1190,2245,203
1190,2410,225
1190,4942,445
1190,5676,150
1190,4983,423
1190,2659,504
1190,2735,158
1190,3234,236
1190,5295,160
1190,4988,227
1190,4377,339
1190,2436,166
1190,442,162
1190,735,622
1190,2543,216
1190,1540,231
1190,2199,155
1190,5166,177
1190,5858,273
1190,638,179
1190,4345,151
1190,680,197
1190,3858,631
1190,5448,161
1190,3606,599
1190,1408,220
1190,402,163
1190,5485,154
1190,4454,238
1190,3955,261
1190,147,179
1190,3229,211
1190,2312,215
1190,4094,168
1190,5684,172
1190,3370,162
1190,1295,355
1190,3119,197
1190,1992,197
1190,1097,168
1190,3074,167
1190,284,467
1190,2246,163
1190,3255,161
1190,1242,157
1190,5655,368
1190,1439,247
1190,212,179
1190,2718,173
1190,462,180
1190,5946,173
1190,4589,263
1190,3670,205
1190,4309,160
1190,5787,366
1190,497,234
1190,1026,273
1190,3365,208
1190,4496,169
1190,1903,439
1190,921,195
1190,4596,241
1190,2887,213
1190,1252,333
1190,3325,173
1190,5240,183
1190,5066,238
1190,862,699
1190,3379,197
1190,2606,196
1190,3963,169
1190,99,197
1190,4672,179
1190,917,222
1190,1664,170
1190,4714,562
1190,3844,197
1190,5536,631
1190,4061,261
1190,1593,154
1190,5957,325
1190,4063,329
1190,1303,248
1190,2614,208
1190,5480,297
1190,4469,197
1190,4501,207
1190,391,168
1190,3138,217
1190,4455,378
1190,4618,388
1190,5021,550
1190,842,197
1190,3451,151
1190,5118,379
1190,5001,426
1190,5954,196
1190,4929,206
1190,4696,242
1190,1891,183
1190,3703,300
1190,3271,218
1190,1435,183
1190,3424,199
1190,3932,238
1190,535,158
1190,4357,226
1190,3151,197
1190,1369,188
1190,4528,159
1190,3027,197
1190,2293,741
1190,3905,255
1190,1972,208
1190,4607,320
1190,980,223
1190,2913,173
1190,3676,151
1190,795,196
1190,4217,360
1190,5741,234
1190,3085,189
1190,3717,242
1190,903,294
1190,3870,197
1190,1690,197
1190,565,186
1190,5205,171
1190,1322,593
1190,2784,197
1190,2728,199
1190,6006,314
1190,3907,302
1190,1697,278
1190,1686,178
1190,644,318
1190,927,163
1190,3881,518
1190,139,371
1190,1085,199
1190,2576,420
1190,1182,165
1190,830,519
1190,192,226
1190,4463,267
1190,4970,224
1190,1378,206
1190,4989,517
1190,4738,263
1190,4026,238
1190,5958,342
1190,477,171
1190,4329,159
1190,2638,304
1190,5822,159
1190,5529,242
1190,4037,627
1190,4180,558
1190,4860,285
1190,245,340
1190,3830,189
1190,5678,155
1190,5817,196
1190,1854,197
1190,1756,206
1190,1459,203
1190,955,269
1190,4791,234
1190,5063,293
1190,3588,181
1190,611,231
1190,5158,296
1190,4122,174
1190,2957,256
1190,4416,406
1190,1574,211
1190,5966,197
1190,4635,178
1190,5249,364
1190,5799,198
1190,5418,197
1190,1618,453
1190,5351,177
1190,5409,197
1190,5737,282
1190,2697,329
1190,1482,180
1190,2555,317
1190,5185,160
1190,489,249
1190,2714,312
1190,3688,269
1190,2772,221
1190,5525,197
1190,1458,185
1190,3824,275
1190,4198,170
1190,83,343
1190,359,173
1190,3125,200
1190,408,249
1190,3096,156
1190,784,157
1190,294,378
1190,5699,220
1190,5991,176
1190,254,169
1190,3641,169
1190,3186,260
1190,2096,267
1190,70,171
1190,697,174
1190,3134,248
1190,180,164
1190,5153,161
1190,3577,221
1190,2405,169
1190,906,152
1190,2978,187
1190,4694,202
1190,4691,200
1190,55,228
1190,4451,192
1190,1118,161
1190,2863,182
1190,534,156
1190,21,151
1190,5025,354
1190,3987,304
1190,3330,162
1190,1133,179
1190,3650,161
1190,5217,171
1190,4196,251
1190,2053,161
1190,1043,197
1190,2061,204
1190,3595,184
1190,3003,174
1190,4307,160
1190,5084,165
1190,2232,284
1190,2901,303
1190,1983,197
1190,1276,193
1190,3230,213
1190,3704,380
1190,3443,213
1190,2538,433
1190,2449,205
1190,3252,252
1190,4936,152
1190,1693,262
1190,3878,525
1190,2733,290
1190,5172,169
1190,3318,205
1190,4794,265
1190,1146,230
1190,5088,224
1190,1603,192
1190,4540,159
1190,3651,205
1190,2643,210
1190,956,166
1190,5474,230
1190,3860,183
1190,1585,200
1190,3892,273
1190,1422,261
1190,5192,151
1190,4859,168
1190,4571,193
1190,5143,154
1190,5642,194
1190,3875,525
1190,247,394
1190,309,156
1190,1475,263
1190,5178,197
1190,5135,219
1190,532,211
1190,194,179
1190,5227,197
1190,5933,309
1190,1468,410
1190,233,197
1190,4002,343
1190,3712,157
1190,5417,332
1190,2747,191
1190,2845,294
1190,63,204
1190,2694,197
1190,2795,216
1190,397,179
1190,4435,292
1190,3947,575
1190,681,165
1190,4194,186
1190,5283,338
1190,1977,178
1190,3528,166
1190,4627,252
1190,3441,197
1190,4465,237
1190,3937,167
1190,3720,211
1190,64,221
1190,957,212
1190,4437,185
1190,1715,291
1190,207,437
1190,3109,202
1190,3768,683
1190,2508,154
1190,4919,162
1190,1474,256
1190,1630,571
1190,880,251
1190,3533,342
1190,1034,322
1190,654,197
1190,2469,154
1190,2358,410
1190,1140,400
1190,2168,154
1374,5151,248
1374,2139,361
1374,3410,201
1374,2053,255
1374,5318,151
1374,1383,157
1374,3015,178
1374,4010,201
1374,1690,248
1374,4222,170
1374,4202,357
1374,4341,283
1374,942,189
1374,2175,208
1374,681,398
1374,1139,406
1374,1389,436
1374,481,376
1374,5813,184
1374,2747,204
1374,2610,304
1374,4195,193
1374,3831,185
1374,528,181
1374,3305,223
1374,5954,208
1374,3154,375
1374,2093,183
1374,2950,235
1374,1491,272
1374,628,247
1374,1130,271
1374,5270,173
1374,5692,487
1374,3138,395
1374,5413,247
1374,3129,616
1374,4848,161
1374,4687,154
1374,1232,345
1374,1000,222
1374,136,155
1374,4967,298
1374,220,183
1374,883,296
1374,1311,161
1374,5563,152
1374,4180,577
1374,841,275
1374,5850,174
1374,3662,970
1374,3208,173
1374,1586,156
1374,3445,225
1374,192,262
1374,4833,203
1374,3536,261
1374,3603,178
1374,5887,204
1374,5906,151
1374,3319,177
1374,4514,258
1374,1524,260
1374,5750,156
5179,1103,151
5179,532,260
5179,3212,200
5179,5133,608
5179,124,439
5179,4945,949
5179,4637,271
5179,5344,923
5179,2264,403
5179,1535,197
5179,3590,163
5179,4469,160
5179,5413,382
5179,3188,338
5179,1454,369
5179,136,179
5179,4584,242
5179,2063,170
5179,218,458
5179,4656,177
5179,687,783
5179,1742,349
5179,4298,160
5179,3847,901
5179,193,197
5179,667,171
5179,4442,424
5179,4153,174
5179,4654,202
5179,5041,916
5179,1991,947
5179,4574,351
5179,577,185
5179,3259,202
5179,5222,274
5179,1890,151
5179,1332,248
5179,2092,252
5179,5310,231
5179,2221,426
5179,2117,729
5179,3733,154
5179,3081,415
5179,1111,152
5179,3333,376
5179,5807,688
5179,5638,325
5179,5577,921
5179,1863,290
5179,2047,860
5179,4590,399
5179,3812,151
5179,2805,947
5179,4486,670
5179,1689,179
5179,3646,224
5179,3833,150
5179,1285,151
5179,4305,386
5179,3985,189
5179,1909,299
5179,261,276
5179,3995,150
5179,1773,393
5179,3196,154
5179,5866,168
5179,1026,196
5179,712,584
5179,3165,298
5179,616,291
5179,591,916
5179,5274,670
5179,816,214
5179,4727,180
5179,2449,348
5179,5282,155
5179,4739,328
5179,5470,161
5179,1546,431
5179,4579,213
5179,2358,165
5179,2361,198
5179,3950,299
5179,1441,876
5179,855,213
5179,5117,527
5179,4339,267
5179,4941,159
5179,1362,216
5179,796,386
5179,567,193
5179,3518,830
5179,485,483
5179,4003,347
5179,5354,306
5179,1855,778
5179,3775,387
5179,3434,172
5179,2665,319
5179,4007,210
5179,3449,469
5179,1788,180
5179,4162,838
5179,2122,230
5179,1635,181
5179,572,161
5179,4745,199
5179,4265,169
5179,4532,160
5179,1005,180
5179,3430,189
5179,896,244
5179,2563,955
5179,4973,267
5179,2170,221
5179,4208,181
5179,79,344
5179,5528,720
5179,3974,328
5179,5763,268
5179,3792,193
5179,547,174
5179,1435,252
5179,472,324
5179,1352,540
5179,4907,192
5179,5176,750
5179,525,155
5179,3281,167
5179,4583,331
5179,2283,937
5179,4409,353
5179,5312,606
5179,3815,276
5179,1848,788
5179,3287,185
5179,864,166
5179,4126,566
5179,4705,277
5179,4776,540
5179,4391,938
5179,459,676
5179,3149,468
5179,489,160
5179,2938,600
5179,1523,600
5179,2803,371
5179,5768,232
5179,5769,849
5179,1337,280
5179,2084,318
5179,5418,305
5179,4629,151
5179,5439,437
5179,1163,213
5179,1130,900
5179,1016,319
5179,4383,188
5179,5984,171
5179,2153,234
5179,1985,600
5179,4284,918
5179,2086,790
5179,2562,340
5179,1944,232
5179,2330,305
5179,2197,367
5179,2020,368
5179,4080,595
5179,5076,183
5179,2237,750
5179,5357,174
5179,710,193
5179,4163,340
5179,5061,915
5179,3830,437
5179,1035,356
5179,4180,250
5179,630,196
5179,4187,964
5179,109,207
5179,5941,540
5179,1355,460
5179,3879,167
5179,3100,159
5179,4530,213
5179,51,151
5179,698,158
5179,5759,284
5179,4456,163
5179,5114,284
5179,145,203
5179,5964,159
5179,2810,355
5179,2348,173
5179,2178,734
5179,3754,428
5179,350,176
5179,5463,243
5179,4318,376
5179,1692,296
5179,1992,166
5179,1409,293
5179,1242,167
5179,4120,646
5179,2824,802
5179,2986,159
5179,4094,219
5179,5364,176
5179,2729,421
5179,1594,848
5179,4621,329
5179,237,155
5179,3723,383
5179,3045,224
5179,5092,161
5179,4460,287
5179,2057,626
5179,5824,203
5179,2897,231
5179,5541,254
5179,4299,826
5179,3315,473
5179,4202,387
5179,3716,276
5179,2470,290
5179,3641,169
5179,2194,176
5179,176,837
5179,1534,368
5179,2171,769
5179,2081,407
5179,1923,239
5179,4800,273
5179,4550,261
5179,2735,856
5179,40,205
5179,1225,367
5179,1354,361
5179,1931,502
5179,5319,163
5179,1765,456
5179,1449,351
5179,3060,235
5179,790,367
5179,3494,213
5179,1030,301
5179,950,309
5179,382,171
5179,2813,292
5179,4683,908
2633,2783,232
2633,1860,300
2633,2569,157
2633,1512,232
2633,4607,365
2633,1556,174
2633,5379,167
2633,4894,406
2633,4424,250
2633,4796,184
2633,2400,320
2633,3759,234
2633,4349,222
2633,5207,162
2633,5535,206
2633,791,295
2633,5589,180
2633,4929,185
2633,4774,223
2633,4896,447
2633,5221,330
2633,664,170
2633,5867,280
2633,1474,166
2633,761,431
2633,828,258
2633,5007,177
2633,5173,230
2633,2329,150
2633,2168,300
2633,1140,216
2633,5934,207
2633,5515,307
2633,4437,211
2633,3904,201
2633,2746,176
2633,4360,167
2633,4758,265
2633,4919,248
2633,3640,212
2633,5241,387
2633,2152,172
2633,1656,179
2633,772,267
2633,4653,178
2633,1711,556
2633,957,178
2633,3284,204
2633,5665,193
2633,2247,330
2633,4743,174
2633,3085,449
2633,2218,152
2633,1311,175
2633,5373,225
2633,2363,175
2633,7,270
2633,1463,155
2633,1689,151
2633,3165,168
2633,736,183
2633,4438,194
2633,2867,395
2633,1266,184
2633,2214,214
2633,5905,221
2633,4905,190
2633,996,191
2633,5666,416
2633,4588,253
2633,2757,169
2633,5898,213
2633,2356,479
2633,4023,436
2633,602,288
2633,647,515
2633,1581,172
2633,686,299
2633,5692,176
2633,5861,258
2633,3138,261
2633,4076,159
2633,4290,165
2633,5581,228
2633,297,443
2633,4552,515
2633,4571,212
2633,1890,194
2633,5702,171
2633,3939,182
2633,2436,288
2633,3407,256
2633,479,154
2633,4961,211
2633,3186,300
2633,3784,154
2633,3737,164
2633,716,345
2633,3746,238
2633,5676,168
2633,3494,173
2633,1698,233
2633,1676,248
2633,1060,227
2633,755,321
2633,944,169
2633,726,172
2633,3694,284
2633,5579,278
2633,779,372
2633,446,452
2633,1571,434
2633,3650,153
2633,1097,157
2633,1036,289
2633,3899,272
2633,6031,414
2633,3417,154
2633,994,172
2633,3678,158
2633,3987,436
2633,1670,156
2633,995,317
2633,4691,212
2633,3606,965
2633,4130,168
2633,3195,419
2633,4341,324
2633,493,169
2633,5061,159
2633,1959,179
2633,4180,174
2633,1793,594
2633,1343,256
2633,672,196
2633,5802,198
2633,6023,218
2633,3564,248
2633,1685,199
2633,5964,259
2633,1759,222
2633,3771,183
2633,1501,455
2633,2875,421
2633,6029,257
2633,4356,422
2633,771,167
2633,1719,150
2633,360,198
2633,1323,165
2633,4848,181
2633,5961,703
2633,5947,176
2633,4213,227
2633,1284,481
2633,1996,177
2633,2965,154
2633,1976,281
2633,4211,157
2633,4688,152
2633,361,224
2633,4592,162
2633,1451,161
2633,144,352
2633,5602,225
2633,1390,302
2633,5705,365
2633,1620,518
2633,707,188
2633,293,156
332,4254,359
332,2728,156
332,880,195
332,1400,216
332,3077,301
332,1140,214
332,609,234
332,3806,216
332,4018,211
332,5648,328
332,5067,168
332,5481,284
332,5770,216
332,2573,209
332,5741,154
332,1286,598
332,5641,161
332,4781,173
332,1512,174
332,5212,360
332,2686,183
332,2690,370
332,4511,332
332,1120,169
332,3110,227
332,1010,202
332,2254,181
332,1639,221
332,5082,165
332,244,207
332,4102,223
332,3740,233
332,894,175
332,4068,187
332,3703,204
332,3271,234
332,3831,151
332,4618,169
332,4338,202
332,4469,265
332,5291,193
332,5852,186
332,6025,162
332,1748,392
332,3184,263
332,1730,310
332,2614,256
332,3876,193
332,2831,158
332,133,210
332,3481,158
332,181,176
