Protein1,Protein2,Score
802,5735,235
802,4774,203
802,5888,337
802,2075,543
802,1675,745
802,5052,204
802,1611,219
802,5406,287
802,624,168
802,1126,482
802,2175,993
802,4355,256
802,1336,160
802,1476,172
802,4978,203
802,4711,995
802,3398,252
802,3112,169
802,672,187
802,3131,272
802,486,173
802,3048,166
802,4236,262
802,5154,188
802,4807,154
802,694,186
802,3563,176
802,1679,380
802,744,273
802,5928,193
802,1482,158
802,2825,202
802,3970,205
802,4819,182
802,740,344
802,4713,190
802,3082,152
802,3589,303
802,4128,193
802,546,490
802,191,826
802,492,162
802,5466,234
802,4309,150
802,4709,212
802,5043,849
802,1372,222
802,4939,329
802,2191,193
802,1381,153
802,5993,187
802,5668,270
802,5324,175
802,474,295
802,5255,540
802,3238,252
802,4302,194
802,4231,394
802,1337,177
802,4504,193
802,3951,361
802,3150,189
802,4155,396
802,4015,334
802,5736,233
802,2780,162
802,5839,310
802,981,225
802,3429,540
802,3661,341
802,5912,169
802,1628,232
802,1327,382
802,823,230
802,4998,665
802,539,171
802,5103,256
802,482,180
802,768,165
802,1258,166
802,4996,491
802,5936,429
802,1519,183
802,3784,998
802,5219,487
802,2999,354
802,1169,188
802,5419,907
802,4888,173
802,1304,325
802,4370,500
802,3747,195
802,2462,172
802,876,309
802,1768,431
802,4181,873
802,757,804
802,1468,438
802,1136,756
802,650,320
802,2455,190
802,2263,205
802,3156,170
802,1488,289
802,5420,241
802,1970,249
802,2711,150
802,2152,359
802,2913,252
802,5874,515
802,4804,307
802,1462,326
802,5051,229
802,4390,903
802,3691,189
802,2192,818
802,5145,466
802,2731,819
802,5790,169
802,1617,322
802,2813,762
802,5346,323
802,4863,321
802,2829,305
802,380,168
802,2679,343
802,943,235
802,639,286
802,2752,164
802,4406,178
802,4019,388
802,1001,334
802,677,819
802,2671,309
802,3469,150
802,2498,157
802,4829,395
802,4625,640
802,5161,150
802,3900,205
802,2785,902
802,4542,326
802,5175,165
802,3825,205
802,2017,208
802,4658,998
802,1475,269
802,245,207
802,5380,540
802,895,285
802,799,197
802,1448,243
802,529,248
802,1071,285
802,5104,325
802,124,838
802,1233,167
802,4608,755
802,24,911
802,3517,367
802,5311,184
802,612,296
802,2093,430
802,5242,208
802,2885,838
802,3552,213
802,3683,168
802,3211,493
802,2524,241
802,5793,400
802,1271,642
802,1686,465
802,2004,329
802,4905,255
802,732,256
802,5141,289
802,2944,319
802,3425,218
802,458,209
802,3299,248
802,920,187
802,5976,237
802,2038,271
802,4511,158
802,3000,511
802,5315,260
802,1639,240
802,5441,529
802,2210,167
802,2137,431
802,216,264
802,952,302
802,3312,194
802,1762,531
802,5605,786
802,4522,217
802,1965,173
802,3708,354
802,5361,160
802,1722,150
802,4664,236
802,2326,871
802,588,165
802,5485,591
802,4410,156
802,5696,164
802,3585,494
802,3210,308
802,4072,178
802,2713,197
802,2299,150
802,5331,289
802,1454,734
802,4156,311
802,1376,228
802,5358,351
802,3702,283
802,4292,540
802,5430,540
802,2447,193
802,2401,167
802,2469,171
802,4454,211
802,4702,273
802,1093,656
802,1530,166
802,3034,259
802,3652,193
802,3201,175
802,4022,165
802,2382,231
802,940,158
802,4261,169
802,692,253
802,2518,550
802,3286,878
802,2797,258
802,750,261
802,4790,175
802,4911,314
802,1221,905
802,3895,222
802,2234,199
802,4708,453
802,1923,544
802,4170,171
802,4952,806
802,2171,245
802,2595,327
802,3304,997
802,3043,546
802,5399,179
802,5601,524
802,3340,504
802,2719,171
802,5031,152
802,5263,262
802,4350,811
802,175,175
802,4858,383
802,3912,164
802,2529,212
802,5596,159
802,3072,463
802,4796,289
802,3871,157
802,4839,216
802,402,161
802,2484,325
802,223,338
802,5166,217
802,5680,224
802,2575,177
802,1770,301
802,2226,273
802,263,183
802,1445,181
802,2200,215
802,1507,233
802,730,199
802,2174,165
802,5660,960
802,847,245
802,1966,203
802,4954,179
802,368,214
802,176,161
802,3791,323
802,2501,177
802,2289,177
802,5171,218
802,1487,162
802,4104,206
802,102,811
802,2786,307
802,5260,693
802,2064,160
802,5892,673
802,5327,418
802,5853,152
802,5138,394
802,4705,260
802,5870,542
802,2340,210
802,1449,156
802,3890,169
802,5424,274
802,2859,175
802,5301,203
802,2167,281
802,3320,205
802,3906,189
802,4297,181
802,698,913
802,3647,150
802,4610,181
802,5895,397
802,896,197
802,5905,195
802,862,183
802,701,193
802,1471,165
802,4997,215
802,5950,309
802,5986,292
802,5998,618
802,706,489
802,3184,368
802,627,356
802,3847,240
802,2650,306
802,4234,205
802,4192,231
802,3655,151
802,791,195
802,2807,442
802,4091,161
802,2172,506
802,5707,286
802,4716,170
802,2036,163
802,1649,271
802,899,319
802,5321,168
802,1798,318
802,2961,230
802,5254,184
802,4146,181
802,3882,305
802,2959,291
802,1356,166
802,2333,257
802,1275,470
802,5615,183
802,3668,286
802,4729,334
802,2712,998
802,1394,501
802,461,200
802,5932,150
802,4229,301
802,5612,228
802,4205,642
802,5055,188
802,1690,314
802,3060,231
802,5970,373
802,5086,540
802,4738,750
802,4745,362
802,1728,822
802,543,568
802,838,189
802,3252,260
802,5280,336
802,4381,540
802,3682,578
802,225,207
802,648,154
802,1546,434
802,1429,250
802,544,540
802,2943,492
802,1346,256
802,3499,177
802,2103,237
802,4942,595
802,5009,275
802,118,267
802,855,231
802,3275,181
802,4968,181
802,4142,250
802,1506,201
802,1057,186
802,3356,795
802,4026,173
802,2280,218
802,4503,836
802,5494,160
802,2675,186
802,2164,381
802,976,172
802,4578,631
802,3440,187
802,4413,283
802,1330,463
802,4480,345
802,5921,178
802,4062,216
802,4555,543
802,4873,156
802,1698,208
802,1297,531
802,408,426
802,4242,182
802,4989,331
802,1735,545
802,1510,220
802,3727,265
802,4472,164
802,643,177
802,832,285
802,4001,194
802,3120,417
802,1741,160
802,3602,803
802,5659,385
802,5093,377
802,3267,346
802,3168,274
802,635,167
802,4589,160
802,3193,152
802,3163,159
802,5852,201
802,4914,233
802,5924,540
802,3500,328
802,5926,203
802,3247,244
802,587,248
802,2651,996
802,2553,192
802,472,170
802,211,689
802,400,261
802,5250,276
802,4284,513
802,4803,150
802,259,435
802,1028,234
802,2804,228
802,5058,414
802,1766,540
802,1022,253
802,1895,287
802,708,540
802,2686,325
802,3336,581
802,4567,629
802,4457,186
802,5875,161
802,3611,474
802,4280,161
802,3625,545
802,7,215
802,3963,543
802,125,241
802,1248,262
802,2083,210
802,4748,168
802,843,248
802,5999,215
802,5316,256
802,4057,161
802,5459,736
802,2928,156
4110,3665,189
4110,731,312
4110,3167,229
4110,2188,255
4110,2801,233
4110,523,619
4110,5263,300
4110,4419,284
4110,2719,153
4110,2616,188
4110,3378,181
4110,83,350
4110,4185,262
4110,1452,302
4110,4276,258
4110,3426,216
4110,2382,238
4110,4866,324
4110,9,248
4110,1238,415
4110,1093,409
4110,2390,252
4110,1039,164
4110,3574,370
4110,21,208
4110,2379,151
4110,3042,337
4110,1376,260
4110,3818,303
4110,2847,161
4110,2299,311
4110,4422,311
4110,1114,182
4110,5485,296
4110,3836,179
4110,4665,198
4110,2067,265
4110,4934,197
4110,2579,931
4110,5836,150
4110,4483,192
4110,1175,617
4110,693,216
4110,614,238
4110,871,151
4110,93,180
4110,5823,231
4110,3556,180
4110,5122,213
4110,2392,177
4110,4155,173
4110,2436,200
4110,4015,240
4110,5848,205
4110,2887,358
4110,5782,246
4110,743,171
4110,474,434
4110,837,321
4110,3244,192
4110,6001,198
4110,5496,188
4110,4000,167
4110,4997,156
4110,1471,231
4110,1372,359
4110,4939,191
4110,5320,221
4110,701,176
4110,3748,346
4110,4958,186
4110,4709,628
4110,896,183
4110,2561,261
4110,5466,297
4110,826,656
4110,285,321
4110,645,232
4110,1081,285
4110,75,175
4110,2132,194
4110,1981,302
4110,5640,233
4110,2453,189
4110,3563,537
4110,923,981
4110,4861,206
4110,1113,171
4110,2698,188
4110,3608,282
4110,5703,631
4110,2786,452
4110,2064,156
4110,2682,468
4110,5714,166
4110,624,207
4110,2175,153
4110,1278,152
4110,2747,227
4110,4954,978
4110,4359,286
4110,1343,902
4110,2121,672
4110,847,209
4110,3841,734
4110,2941,225
4110,4100,334
4110,3489,168
4110,5032,153
4110,1977,282
4110,5713,253
4110,263,242
4110,2186,311
4110,1014,216
4110,1847,176
4110,2517,181
4110,3514,189
4110,4971,150
4110,3925,446
4110,976,369
4110,1721,169
4110,1753,181
4110,2280,333
4110,3883,311
4110,4867,956
4110,1964,293
4110,4235,321
4110,3927,310
4110,2829,183
4110,2779,355
4110,4351,171
4110,3980,169
4110,3595,180
4110,2192,206
4110,1462,413
4110,3404,465
4110,3682,219
4110,5556,277
4110,5918,156
4110,1690,231
4110,5970,382
4110,1136,287
4110,1804,202
4110,2712,601
4110,1623,154
4110,3982,150
4110,2494,336
4110,1316,201
4110,1866,622
4110,717,368
4110,94,299
4110,2827,221
4110,3794,464
4110,5824,321
4110,1013,150
4110,5103,426
4110,3067,397
4110,1214,152
4110,1170,457
4110,791,165
4110,4234,188
4110,4192,315
4110,2591,156
4110,1520,169
4110,3870,237
4110,952,198
4110,3007,309
4110,1596,227
4110,7,152
4110,4308,386
4110,5315,157
4110,5035,173
4110,3336,168
4110,917,202
4110,2539,206
4110,2700,233
4110,5141,294
4110,4560,406
4110,3683,901
4110,2702,361
4110,4962,326
4110,2221,236
4110,2885,151
4110,3500,436
4110,335,183
4110,527,195
4110,4426,175
4110,635,193
4110,4552,232
4110,1699,465
4110,2322,958
4110,1329,169
4110,3494,154
4110,3192,485
4110,1353,216
4110,5503,207
4110,4062,164
4110,5921,215
4110,4041,315
4110,1564,157
4110,2022,256
4110,4829,164
1186,3687,197
1186,75,339
1186,2129,187
1186,5895,695
1186,1549,350
1186,896,197
1186,770,152
1186,4997,399
1186,330,150
1186,3572,167
1186,4140,222
1186,3244,465
1186,2436,710
1186,4787,152
1186,4103,329
1186,5848,219
1186,4114,212
1186,1357,166
1186,5166,273
1186,840,197
1186,4475,215
1186,263,203
1186,764,197
1186,730,166
1186,337,152
1186,4367,196
1186,1507,153
1186,1966,183
1186,4818,161
1186,5660,217
1186,847,249
1186,1487,166
1186,4359,157
1186,4954,270
1186,2064,262
1186,2786,226
1186,3001,239
1186,692,183
1186,5484,296
1186,2382,211
1186,750,226
1186,3426,174
1186,3286,216
1186,443,321
1186,2234,203
1186,2397,225
1186,4911,445
1186,5643,150
1186,4952,423
1186,2644,504
1186,2719,158
1186,3215,236
1186,5263,160
1186,4957,227
1186,4350,339
1186,2422,166
1186,439,162
1186,731,622
1186,2529,216
1186,1534,231
1186,2188,155
1186,5135,177
1186,5823,273
1186,634,179
1186,4318,151
1186,676,197
1186,3836,631
1186,5415,161
1186,3585,599
1186,1402,220
1186,399,163
1186,5452,154
1186,4425,238
1186,3933,261
1186,147,179
1186,3210,211
1186,2299,215
1186,4072,168
1186,5651,172
1186,3351,162
1186,1289,355
1186,3101,197
1186,1984,197
1186,1093,168
1186,3057,167
1186,282,467
1186,2235,163
1186,3236,161
1186,1238,157
1186,5622,368
1186,1433,247
1186,211,179
1186,2702,173
1186,459,180
1186,5910,173
1186,4560,263
1186,3649,205
1186,4284,160
1186,5752,366
1186,494,234
1186,1022,273
1186,3346,208
1186,4467,169
1186,1895,439
1186,917,195
1186,4567,241
1186,2871,213
1186,1248,333
1186,3306,173
1186,5209,183
1186,5035,238
1186,858,699
1186,3359,197
1186,2591,196
1186,3941,169
1186,99,197
1186,4643,179
1186,913,222
1186,1657,170
1186,4685,562
1186,3822,197
1186,5503,631
1186,4039,261
1186,1587,154
1186,5921,325
1186,4041,329
1186,1297,248
1186,2599,208
1186,5447,297
1186,4440,197
1186,4472,207
1186,388,168
1186,3120,217
1186,4426,378
1186,4589,388
1186,4990,550
1186,838,197
1186,3431,151
1186,5087,379
1186,4970,426
1186,5918,196
1186,4898,206
1186,4667,242
1186,1884,183
1186,3682,300
1186,3252,218
1186,1429,183
1186,3404,199
1186,3910,238
1186,532,158
1186,4330,226
1186,3133,197
1186,1363,188
1186,4499,159
1186,3011,197
1186,2280,741
1186,3883,255
1186,1964,208
1186,4578,320
1186,976,223
1186,2897,173
1186,3655,151
1186,791,196
1186,4192,360
1186,5707,234
1186,3067,189
1186,3696,242
1186,899,294
1186,3848,197
1186,1683,197
1186,562,186
1186,5174,171
1186,1316,593
1186,2768,197
1186,2712,199
1186,5970,314
1186,3885,302
1186,1690,278
1186,1679,178
1186,640,318
1186,923,163
1186,3859,518
1186,139,371
1186,1081,199
1186,2561,420
1186,1178,165
1186,826,519
1186,191,226
1186,4434,267
1186,4939,224
1186,1372,206
1186,4958,517
1186,4709,263
1186,4004,238
1186,5922,342
1186,474,171
1186,4302,159
1186,2623,304
1186,5787,159
1186,5496,242
1186,4015,627
1186,4155,558
1186,4830,285
1186,243,340
1186,3808,189
1186,5645,155
1186,5782,196
1186,1847,197
1186,1749,206
1186,1453,203
1186,951,269
1186,4761,234
1186,5032,293
1186,3567,181
1186,607,231
1186,5127,296
1186,4100,174
1186,2941,256
1186,4388,406
1186,1568,211
1186,5930,197
1186,4606,178
1186,5218,364
1186,5764,198
1186,5385,197
1186,1611,453
1186,5318,177
1186,5376,197
1186,5703,282
1186,2682,329
1186,1476,180
1186,2540,317
1186,5154,160
1186,486,249
1186,2698,312
1186,3667,269
1186,2756,221
1186,5492,197
1186,1452,185
1186,3802,275
1186,4173,170
1186,83,343
1186,356,173
1186,3107,200
1186,405,249
1186,3078,156
1186,780,157
1186,292,378
1186,5666,220
1186,5955,176
1186,252,169
1186,3620,169
1186,3167,260
1186,2087,267
1186,70,171
1186,693,174
1186,3116,248
1186,179,164
1186,5122,161
1186,3556,221
1186,2392,169
1186,902,152
1186,2962,187
1186,4665,202
1186,4662,200
1186,55,228
1186,4422,192
1186,1114,161
1186,2847,182
1186,531,156
1186,21,151
1186,4994,354
1186,3965,304
1186,3311,162
1186,1129,179
1186,3629,161
1186,5186,171
1186,4171,251
1186,2044,161
1186,1039,197
1186,2052,204
1186,3574,184
1186,2987,174
1186,4282,160
1186,5053,165
1186,2221,284
1186,2885,303
1186,1975,197
1186,1271,193
1186,3211,213
1186,3683,380
1186,3423,213
1186,2524,433
1186,2435,205
1186,3233,252
1186,4905,152
1186,1686,262
1186,3856,525
1186,2717,290
1186,5141,169
1186,3299,205
1186,4764,265
1186,1142,230
1186,5057,224
1186,1596,192
1186,4511,159
1186,3630,205
1186,2628,210
1186,952,166
1186,5441,230
1186,3838,183
1186,1579,200
1186,3870,273
1186,1416,261
1186,5161,151
1186,4829,168
1186,4542,193
1186,5112,154
1186,5609,194
1186,3853,525
1186,245,394
1186,307,156
1186,1469,263
1186,5147,197
1186,5104,219
1186,529,211
1186,193,179
1186,5196,197
1186,5897,309
1186,1462,410
1186,231,197
1186,3980,343
1186,3691,157
1186,5384,332
1186,2731,191
1186,2829,294
1186,63,204
1186,2679,197
1186,2779,216
1186,394,179
1186,4406,292
1186,3925,575
1186,677,165
1186,4169,186
1186,5251,338
1186,1969,178
1186,3507,166
1186,4598,252
1186,3421,197
1186,4436,237
1186,3915,167
1186,3699,211
1186,64,221
1186,953,212
1186,4408,185
1186,1708,291
1186,206,437
1186,3091,202
1186,3747,683
1186,2494,154
1186,4888,162
1186,1468,256
1186,1623,571
1186,876,251
1186,3512,342
1186,1030,322
1186,650,197
1186,2455,154
1186,2345,410
1186,1136,400
1186,2157,154
1368,5120,248
1368,2130,361
1368,3390,201
1368,2044,255
1368,5286,151
1368,1377,157
1368,2999,178
1368,3988,201
1368,1683,248
1368,4197,170
1368,4177,357
1368,4314,283
1368,938,189
1368,2164,208
1368,677,398
1368,1135,406
1368,1383,436
1368,478,376
1368,5778,184
1368,2731,204
1368,2595,304
1368,4170,193
1368,3809,185
1368,525,181
1368,3286,223
1368,5918,208
1368,3136,375
1368,2084,183
1368,2934,235
1368,1485,272
1368,624,247
1368,1126,271
1368,5239,173
1368,5659,487
1368,3120,395
1368,5380,247
1368,3111,616
1368,4818,161
1368,4658,154
1368,1228,345
1368,996,222
1368,136,155
1368,4936,298
1368,219,183
1368,879,296
1368,1305,161
1368,5530,152
1368,4155,577
1368,837,275
1368,5815,174
1368,3641,970
1368,3189,173
1368,1580,156
1368,3425,225
1368,191,262
1368,4803,203
1368,3515,261
1368,3582,178
1368,5851,204
1368,5870,151
1368,3300,177
1368,4485,258
1368,1518,260
1368,5716,156
5148,1099,151
5148,529,260
5148,3193,200
5148,5102,608
5148,124,439
5148,4914,949
5148,4608,271
5148,5311,923
5148,2253,403
5148,1529,197
5148,3569,163
5148,4440,160
5148,5380,382
5148,3169,338
5148,1448,369
5148,136,179
5148,4555,242
5148,2054,170
5148,217,458
5148,4627,177
5148,683,783
5148,1735,349
5148,4273,160
5148,3825,901
5148,192,197
5148,663,171
5148,4413,424
5148,4130,174
5148,4625,202
5148,5010,916
5148,1983,947
5148,4545,351
5148,573,185
5148,3240,202
5148,5191,274
5148,1883,151
5148,1326,248
5148,2083,252
5148,5278,231
5148,2210,426
5148,2108,729
5148,3712,154
5148,3064,415
5148,1107,152
5148,3314,376
5148,5772,688
5148,5605,325
5148,5544,921
5148,1856,290
5148,2039,860
5148,4561,399
5148,3790,151
5148,2789,947
5148,4457,670
5148,1682,179
5148,3625,224
5148,3811,150
5148,1279,151
5148,4280,386
5148,3963,189
5148,1901,299
5148,259,276
5148,3973,150
5148,1766,393
5148,3177,154
5148,5831,168
5148,1022,196
5148,708,584
5148,3146,298
5148,612,291
5148,587,916
5148,5242,670
5148,812,214
5148,4698,180
5148,2435,348
5148,5250,155
5148,4710,328
5148,5437,161
5148,1540,431
5148,4550,213
5148,2345,165
5148,2348,198
5148,3928,299
5148,1435,876
5148,851,213
5148,5086,527
5148,4312,267
5148,4910,159
5148,1356,216
5148,792,386
5148,564,193
5148,3497,830
5148,482,483
5148,3981,347
5148,5321,306
5148,1848,778
5148,3754,387
5148,3414,172
5148,2650,319
5148,3985,210
5148,3429,469
5148,1781,180
5148,4139,838
5148,2113,230
5148,1628,181
5148,568,161
5148,4716,199
5148,4240,169
5148,4503,160
5148,1001,180
5148,3410,189
5148,892,244
5148,2548,955
5148,4942,267
5148,2159,221
5148,4183,181
5148,79,344
5148,5495,720
5148,3952,328
5148,5729,268
5148,3770,193
5148,544,174
5148,1429,252
5148,469,324
5148,1346,540
5148,4876,192
5148,5145,750
5148,522,155
5148,3262,167
5148,4554,331
5148,2271,937
5148,4381,353
5148,5280,606
5148,3793,276
5148,1841,788
5148,3268,185
5148,860,166
5148,4104,566
5148,4676,277
5148,4747,540
5148,4363,938
5148,456,676
5148,3131,468
5148,486,160
5148,2922,600
5148,1517,600
5148,2787,371
5148,5734,232
5148,5735,849
5148,1331,280
5148,2075,318
5148,5385,305
5148,4600,151
5148,5406,437
5148,1159,213
5148,1126,900
5148,1012,319
5148,4355,188
5148,5948,171
5148,2144,234
5148,1977,600
5148,4259,918
5148,2077,790
5148,2547,340
5148,1936,232
5148,2317,305
5148,2186,367
5148,2012,368
5148,4058,595
5148,5045,183
5148,2226,750
5148,5324,174
5148,706,193
5148,4140,340
5148,5030,915
5148,3808,437
5148,1031,356
5148,4155,250
5148,626,196
5148,4162,964
5148,109,207
5148,5905,540
5148,1349,460
5148,3857,167
5148,3082,159
5148,4501,213
5148,51,151
5148,694,158
5148,5725,284
5148,4427,163
5148,5083,284
5148,145,203
5148,5928,159
5148,2794,355
5148,2335,173
5148,2167,734
5148,3733,428
5148,347,176
5148,5430,243
5148,4292,376
5148,1685,296
5148,1984,166
5148,1403,293
5148,1238,167
5148,4098,646
5148,2808,802
5148,2970,159
5148,4072,219
5148,5331,176
5148,2713,421
5148,1588,848
5148,4592,329
5148,235,155
5148,3702,383
5148,3028,224
5148,5061,161
5148,4431,287
5148,2048,626
5148,5789,203
5148,2881,231
5148,5508,254
5148,4274,826
5148,3296,473
5148,4177,387
5148,3695,276
5148,2456,290
5148,3620,169
5148,2183,176
5148,175,837
5148,1528,368
5148,2160,769
5148,2072,407
5148,1915,239
5148,4770,273
5148,4521,261
5148,2719,856
5148,40,205
5148,1221,367
5148,1348,361
5148,1923,502
5148,5287,163
5148,1758,456
5148,1443,351
5148,3043,235
5148,786,367
5148,3473,213
5148,1026,301
5148,946,309
5148,379,171
5148,2797,292
5148,4654,908
2618,2767,232
2618,1853,300
2618,2554,157
2618,1506,232
2618,4578,365
2618,1550,174
2618,5346,167
2618,4863,406
2618,4396,250
2618,4766,184
2618,2387,320
2618,3738,234
2618,4322,222
2618,5176,162
2618,5502,206
2618,787,295
2618,5556,180
2618,4898,185
2618,4745,223
2618,4865,447
2618,5190,330
2618,660,170
2618,5832,280
2618,1468,166
2618,757,431
2618,824,258
2618,4976,177
2618,5142,230
2618,2316,150
2618,2157,300
2618,1136,216
2618,5898,207
2618,5482,307
2618,4408,211
2618,3882,201
2618,2730,176
2618,4333,167
2618,4729,265
2618,4888,248
2618,3619,212
2618,5210,387
2618,2143,172
2618,1649,179
2618,768,267
2618,4624,178
2618,1704,556
2618,953,178
2618,3265,204
2618,5632,193
2618,2236,330
2618,4714,174
2618,3067,449
2618,2207,152
2618,1305,175
2618,5340,225
2618,2350,175
2618,7,270
2618,1457,155
2618,1682,151
2618,3146,168
2618,732,183
2618,4409,194
2618,2851,395
2618,1262,184
2618,2203,214
2618,5869,221
2618,4874,190
2618,992,191
2618,5633,416
2618,4559,253
2618,2741,169
2618,5862,213
2618,2343,479
2618,4001,436
2618,598,288
2618,643,515
2618,1575,172
2618,682,299
2618,5659,176
2618,5826,258
2618,3120,261
2618,4054,159
2618,4265,165
2618,5548,228
2618,295,443
2618,4523,515
2618,4542,212
2618,1883,194
2618,5669,171
2618,3917,182
2618,2422,288
2618,3387,256
2618,476,154
2618,4930,211
2618,3167,300
2618,3762,154
2618,3716,164
2618,712,345
2618,3725,238
2618,5643,168
2618,3473,173
2618,1691,233
2618,1669,248
2618,1056,227
2618,751,321
2618,940,169
2618,722,172
2618,3673,284
2618,5546,278
2618,775,372
2618,443,452
2618,1565,434
2618,3629,153
2618,1093,157
2618,1032,289
2618,3877,272
2618,5994,414
2618,3397,154
2618,990,172
2618,3657,158
2618,3965,436
2618,1663,156
2618,991,317
2618,4662,212
2618,3585,965
2618,4108,168
2618,3176,419
2618,4314,324
2618,490,169
2618,5030,159
2618,1951,179
2618,4155,174
2618,1786,594
2618,1337,256
2618,668,196
2618,5767,198
2618,5986,218
2618,3543,248
2618,1678,199
2618,5928,259
2618,1752,222
2618,3750,183
2618,1495,455
2618,2859,421
2618,5992,257
2618,4329,422
2618,767,167
2618,1712,150
2618,357,198
2618,1317,165
2618,4818,181
2618,5925,703
2618,5911,176
2618,4188,227
2618,1278,481
2618,1988,177
2618,2949,154
2618,1968,281
2618,4186,157
2618,4659,152
2618,358,224
2618,4563,162
2618,1445,161
2618,144,352
2618,5569,225
2618,1384,302
2618,5672,365
2618,1613,518
2618,703,188
2618,291,156
329,4229,359
329,2712,156
329,876,195
329,1394,216
329,3060,301
329,1136,214
329,605,234
329,3784,216
329,3996,211
329,5615,328
329,5036,168
329,5448,284
329,5736,216
329,2558,209
329,5707,154
329,1280,598
329,5608,161
329,4752,173
329,1506,174
329,5181,360
329,2671,183
329,2675,370
329,4482,332
329,1116,169
329,3092,227
329,1006,202
329,2243,181
329,1632,221
329,5051,165
329,242,207
329,4080,223
329,3719,233
329,890,175
329,4046,187
329,3682,204
329,3252,234
329,3809,151
329,4589,169
329,4311,202
329,4440,265
329,5259,193
329,5817,186
329,5988,162
329,1741,392
329,3165,263
329,1723,310
329,2599,256
329,3854,193
329,2815,158
329,133,210
329,3460,158
329,180,176
329,5441,407
